PRODUCTO,UNIDAD,EXISTENCIA,DESCRIPCION DEL PRODUCTO
4707,4 LTS,2.710,COMEX ESM/ P/ PIZARRON GIS B/A BASE
502,4 LTS,1.000,RIVER LACA INDUSTRIAL AMARILLOLIM
503,4 LTS,1.680,RIVER LACA INDUSTRIAL AMARILLOCRO
50600,4 LTS,4.000,MASTER PLUS VIN ACRIL MATE BCO
50601,4 LTS,3.000,MASTER PLUS VIN ACRIL MATE V1
50602,4 LTS,3.000,MASTER PLUS VIN ACRIL MATE V2
50603,4 LTS,3.500,MASTER PLUS VIN ACRIL MATE V3
50604,4 LTS,4.000,PRACTIKA PINT VIN ACRIL MATE BCO
50605,4 LTS,3.000,PRACTIKA PINT VIN ACRIL MATE B1
520,4 LTS,1.180,RIVER LACA INDUSTRIAL VER ORGANICO
523,4 LTS,0.060,RIVER LACA INDUSTRIAL ROJO OXIDO
530,4 LTS,1.900,RIVER LACA INDUSTRIAL NEGRO
5310,4 LTS,2.060,COLOR CAR PRIMER PIROXILINA BLANCO
5311,4 LTS,1.000,COLOR CAR PRIMER PIROXILINA GRIS
5312,4 LTS,2.000,COLOR CAR PRIMER PIROXILINA ROJ OXD
5328,4 LTS,1.625,COLOR CAR PRIMER PIROXILINA NEGRO
5330,4 LTS,2.250,COLOR CAR PRIMARIO UNIVERSAL GRIS
5501,4 LTS,1.000,RIVER LACA AUTOMOTIVA BLANCO P/=
554,4 LTS,3.000,POLYFORM LACA INDUSTRIAL BLANCO
555,4 LTS,0.870,POLYFORM LACA INDUSTRIAL AMARILLO CROMO 
556,4 LTS,2.680,POLYFORM LACA INDUSTRIAL NEGRO 
557,4 LTS,2.250,POLYFORM LACA INDUSTRIAL CHOCOLATE 
558,4 LTS,1.000,POLYFORM LACA INDUSTRIAL BASE 1
559,4 LTS,1.000,POLYFORM LACA INDUSTRIAL BASE 2
560,4 LTS,1.000,POLYFORM LACA INDUSTRIAL BASE 3
561,4 LTS,0.725,POLYFORM LACA INDUSTRIAL BASE 4
563,4 LTS,1.000,POLYFORM LACA INDUSTRIAL ROJO BERMELLON CLARO 
57100,4 LTS,1.750,COMEX 100 TOTAL BLANCO BRILLANTE
57101,4 LTS,3.000,COMEX 100 TOTAL NEGRO BRILLANTE
57108,4 LTS,2.000,COMEX 100 TOTAL BERMELLON 
57111,4 LTS,2.000,COMEX 100 TOTAL BLANCO MATE 
57112,4 LTS,3.000,COMEX 100 TOTAL MATE NEGRO
57113,4 LTS,2.000,COMEX 100 TOTAL MATE BASE 1
57114,4 LTS,2.000,COMEX 100 TOTAL MATE BASE 2
57115,4 LTS,1.750,COMEX 100 TOTAL MATE BASE 3
57116,4 LTS,1.625,COMEX 100 TOTAL MATE BASE 4
57117,4 LTS,2.000,COMEX 100 TOTAL BLANCO SATINADO
57118,4 LTS,2.500,COMEX 100 TOTAL NEGRO SATINADO
57119,4 LTS,2.000,COMEX 100 TOTAL SATINADO BASE 1
57121,4 LTS,2.750,COMEX 100 TOTAL SATINADO BASE 2
57122,4 LTS,2.250,COMEX 100 TOTAL SATINADO BASE 3
57123,4 LTS,1.590,COMEX 100 TOTAL SATINADO BASE 4
60302,4 LTS,1.500,POLYFORM BARNIZ 3000 SEMIMATE
60501,4 LTS,2.000,POLYFORM BARNIZ 11000 BRILLANTE
60502,4 LTS,0.750,POLYFORM BARNIZ 11000 SEMIMATE
60503,4 LTS,1.000,POLYFORM BARNIZ 11000 MATE
60513,4 LTS,2.000,POLYFORM BARNIZ 11000 BASE AGUA .750L
60710,4 LTS,3.000,POLYFORM SOLVENTE PARA POLIURETANO
610,4 LTS,0.710,RIVER BARNIZ 610 SPAR MARINO
61212,4 LTS,3.520,POLYFORM CAT BD A-218 FM BTE TRANSPARENTE 
61705,4 LTS,3.780,POLYFORM PRIMER NITRO ACRILICO
61707,4 LTS,3.000,POLYFORM PRIMER NITRO-ACRILICO CHOCOLATE 
62401,4 LTS,3.000,POLYFORM FONDO BD F-218
62402,4 LTS,3.461,POLYFORM FONDO BD BLANCO F-218
62409,4 LTS,2.870,POLYFORM FONDO BD CHOCOLATE F-218
62511,4 LTS,2.560,POLYFORM BARNIZ BD BTE A-218 NF
62512,4 LTS,2.780,POLYFORM BARNIZ BD SEMIMATE A-218NF
62514,4 LTS,1.940,POLYFORM BARNIZ BD BLANCO A-218 NF
62520,4 LTS,3.470,POLYFORM BARNIZ BD SEMIMATE A-2218 FM
62528,4 LTS,2.935,POLYFORM BRZ BD CHOCOLATE MATE
62550,4 LTS,1.565,POLYFORM BARNIZ BD A-218 FM BTE
62552,4 LTS,1.560,POLYFORM SPAR MARINO BRILLANTE 
62554,4 LTS,1.000,POLYFORM SPAR MARINO SEMIMATE 
62601,4 LTS,3.000,POLYFORM SELLADOR S-270
62701,4 LTS,0.710,POLYFORM LACA-270
62719,4 LTS,0.112,POLYFORM LACA NITRO CHOCOLATE
630,4 LTS,1.000,RIVER 610 SPAR MARINO MATE
63101,4 LTS,3.685,POLYFORM CATALIZADO F PARA FONDO
63111,4 LTS,2.500,POLYFORM CAT PARA BARNIZ BTE Y COL A-218 NF
63112,4 LTS,2.400,POLYFORM CAT PARA BARNIZ SEMIMATE Y M A-218NF
63129,4 LTS,3.000,POLYFORM CAT P/BRZ SMATE Y MATE A-218 FM
63219,4 LTS,0.780,POLYFORM POLYPRIMER CHOC INTENSO
63316,4 LTS,2.000,POLYFORM RESANADOR P/MADERA NOGAL 
63436,4 LTS,2.000,POLYFORM BARNIZ TINTE NOGAL SECADO RAPIDO 
65201,4 LTS,1.120,RIVER SELLADOR 48%
65301,4 LTS,2.000,RIVER LACA 48%
65302,4 LTS,1.000,RIVER LACA 48% SEMI MATE 
65303,4 LTS,1.000,RIVER LACA 48% MATE 
67201,4 LTS,0.715,RIVER BARNIZ SECADO RAPIDO BTE
67305,4 LTS,8.000,THINNER ESTANDAR C/ENV PET HUMO
67403,4 LTS,4.000,THINNER AMERICANO C/ENV. PET
67501,4 LTS,4.000,AGUARRAS SINTETICO CON ENVASE PET
68100,4 LTS,1.000,UNIRAPID PEGAMENTO CONTACTO USO GRL
68201,4 LTS,2.000,UNIRAPID PEGAMENTO BCO ARTESANAL
7000,4 LTS,2.000,ME-70 BLANCO
7036,4 LTS,2.000,ME-70 VIVID B1
7145,4 LTS,1.000,COLOR CAR ESMALTE NEGRO P/CHASIS
715,4 LTS,1.000,VINIMEX NARANJA CONCENTRADO
7267,4 LTS,1.000,VELMAR AZUL FORD
728,4 LTS,2.810,VINIMEX COCOA
732,4 LTS,1.000,VINIMEX ROJO INDIO
75003,4 LTS,1.000,VINIMEX VIVID B3
75004,4 LTS,1.940,VINIMEX VIVID B4
75005,4 LTS,0.230,VINIMEX VIVID B5
75012,4 LTS,2.000,VINIMEX MATE VIVID B2
75014,4 LTS,0.750,VINIMEX MATE VIVID B4
75016,4 LTS,2.750,VINIMEX ANTIBACTERIAL BLANCO SATINADO 
75017,4 LTS,2.500,VINIMEX ANTIBACTERIAL SATINADA V1
75018,4 LTS,4.000,VINIMEX ANTIBACTERIAL SATINADA V2
75019,4 LTS,3.000,VINIMEX ANTIVACTERIAL SATINADA V3
75020,4 LTS,3.000,VINIMEX ANTIBACTERIAL SATINADO V4
75021,4 LTS,3.000,VINIMEX ANTIVACTERIAL SATINADA V5
75038,4 LTS,2.000,VINIMEX ANTIBACTERIAL BLANCO OSTION 
75100,4 LTS,0.530,VINIMEX TOTAL SAT BLANCO
75101,4 LTS,0.720,VINIMEX TOTAL SAT B1
75102,4 LTS,3.385,VINIMEX TOTAL SAT B2
75103,4 LTS,2.000,VINIMEX TOTAL SAT B3
75109,4 LTS,2.000,VINIMEX TOTAL ANTIBACTERIAL SATINADA V2
75111,4 LTS,0.750,VINIMEX TOTAL MATE B1
75112,4 LTS,1.750,VINIMEX TOTAL MATE B2
75113,4 LTS,1.750,VINIMEX TOTAL MATE B3
75114,4 LTS,1.000,VINIMEX TOTAL MATE B4
75115,4 LTS,5.750,VINIMEX TOTAL MATE B5
75117,4 LTS,4.000,VINIMEX TOTAL ANTIBACTERIAL SATINADA V3
75118,4 LTS,1.000,VINIMEX TOTAL ANTIBACTERIAL SATINADA V4
75119,4 LTS,0.680,VINIMEX TOTAL ANTIBACTERIAL SATINADA V5 
75134,4 LTS,0.750,VINIMEX TOTAL ANTICTERIAL BLANCO MATE 
75146,4 LTS,2.700,VINIMEX TOTAL ANTIBACTERIAL MATE V2
75147,4 LTS,2.000,VINIMEX TOTAL ANTIBACTERIAL MATE V3
75148,4 LTS,3.000,VINIMEX TOTAL ANTIBACTERIAL MATE V4
75149,4 LTS,3.540,VINIMEX TOTAL ANTIBACTERIAL MATE V5
75171,4 LTS,3.000,VINIMEX TOTAL ANTIVIRAL SATINADO BLANCO 
75172,4 LTS,3.000,VINIMEX TOTAL ANTIVIRAL SATINADA V1
75173,4 LTS,3.000,VINIMEX TOTAL ANTIVIRAL SATINADA V2 
75174,4 LTS,3.000,VINIMEX TOTAL ANTIVIRAL SATINADA V3 
75175,4 LTS,3.000,VINIMEX TOTAL ANTIVIRAL SATINADA V4
75176,4 LTS,3.000,VINIMEX TOTAL ANTIVIRAL SATINADA V5
75182,4 LTS,2.000,VINIMEX TOTAL ANTIVIRAL MATE V5
75200,4 LTS,1.000,PRO 1000 ONE COAT BLANCO
75201,4 LTS,1.000,PRO 1000 ONE COAT V1
75300,4 LTS,2.460,REAL FLEX HUMEDAD EXTREMA BLANCO
75301,4 LTS,2.000,REAL FLEX HUMEDAD EXTREMA V1 
75302,4 LTS,4.000,REAL FLEX HUMEDAD EXTREMA V2
75303,4 LTS,2.500,REAL FLEX HUMEDAD EXTREMA V3
75304,4 LTS,1.750,REAL FLEX HUMEDAD EXTREMA V4 
75305,4 LTS,1.500,REAL FLEX HUMEDAD EXREMA V5
75501,4 LTS,4.000,REAL FLEX VIVID B1
75502,4 LTS,3.000,REAL FLEX VIVID B2
75503,4 LTS,3.620,REAL FLEX VIVID B3
75504,4 LTS,4.000,REAL FLEX VIVID B4
75505,4 LTS,4.750,REAL FLEX VIVID B5
7565,4 LTS,1.680,VELMAR VERDE JONH DEERE MENONITA
764,4 LTS,0.500,VINIMEX BLANCO OSTION
79401,4 LTS,3.000,VINIMEX 3 EN 1 SATINADO BLANCO
79501,4 LTS,2.000,ACQUA 100TOTAL BRILLANTE BLANCO
79502,4 LTS,1.000,ACQUA 100 TOTAL NEGRO BRILLANTE 
79503,4 LTS,2.000,ACQUA 100 TOTAL BRILLANTE V1
79504,4 LTS,2.000,ACQUA 100 TOTAL BRILLANTE BASE 2
79505,4 LTS,2.000,ACQUA 100 TOTAL BRILLANTE BASE 3
79506,4 LTS,2.000,ACQUA 100 TOTAL SEMI MATE BLANCO 
79508,4 LTS,2.000,ACQUA 100 TOTAL SEMIMATE BASE 1
79509,4 LTS,2.000,ACQUA 100 TOTAL SEMIMATE BASE 2
79510,4 LTS,2.000,ACQUA 100 TOTAL SEMIMATE BASE 3
800,4 LTS,2.000,VINIMEX MATE BLANCO
8100,4 LTS,5.000,SELLADOR 5X1 CLASICO
8101,4 LTS,5.280,ALKAFIN SELLADOR CONTRA ALKALI
8106,4 LTS,5.435,5X1 SELLADOR REFORZADO
8114,4 LTS,3.240,COMEX ALKAFIN SELLADOR ACRILICO B/A
8130,4 LTS,3.000,SELLADOR ENTINTABLE BLANCO
8135,4 LTS,3.720,SELLADOR ENTINTABLE BASE 1 
81601,4 LTS,5.000,ROOF MASTIC 5 AÑOS REFORZADO BLANCO FOTOSEN
81602,4 LTS,1.000,ROOF MASTIC 3 AÑOS REFORZADO BLANCO FOTOSEN
8241,4 LTS,1.730,ACQUA 100 BRILLANTE VIVID B1
8242,4 LTS,2.000,ACQUA 100 BRILLANTE VIVID B2
8243,4 LTS,2.000,ACQUA 100 BRILLANTE VIVID B3
8244,4 LTS,0.740,ACQUA 100 BRILLANTE VIVID B4
8246,4 LTS,1.750,ACQUA 100 SEMI M VIVID B1
8247,4 LTS,2.000,ACQUA 100 SEMI M VIVID B2
8278,4 LTS,2.750,ACQUA 100 SEMIMATE BLANCO
8286,4 LTS,1.000,ACQUA 100 PRIMARIO GRIS
83210,4 LTS,1.000,TOP REPELENTE BASE AGUA
8372,4 LTS,3.000,COLOR CAR REMOVEDOR ESPECIAL 
84402,4 LTS,1.000,TOP TAPA GOTERAS
85410,4 LTS,1.440,EFFEX METAL MERCURIO
86400,4 LTS,2.000,OK CONCRETO
86600,4 LTS,2.000,OK RESANADOR
86704,4 LTS,1.850,EFFEX MARMOL PIAMONTE BASE 1
86780,4 LTS,1.000,EFFEX MARMOL TRAVENTINO
86901,4 LTS,2.000,PRACTICO MULTIACABADO
8715,4 LTS,1.060,COLOR CAR PRIMARIO ACRILICO GRIS C
88010,4 LTS,0.812,EFFEX TEXTIL SATIN PLATA 
88020,4 LTS,0.750,EFFEX TEXTIL SATIN ORO
88030,4 LTS,1.000,EFFEX TEXTIL GAMUZA
88320,4 LTS,1.000,EFFEX PIEDRA CRAQUEL
88330,4 LTS,1.000,EFFEX PIEDRA CALIZA
88350,4 LTS,1.000,EFFEX PIEDRA DIAMANTE
88361,4 LTS,1.000,EFFEX PIEDRA CANTERA NEGRO
8992,4 LTS,0.430,COMEX 100 PRIMARIO GRIS CLARO
8993,4 LTS,0.250,COMEX 100 PRIMARIO BLANCO
900,4 LTS,0.030,VELMAR BLANCO
902,4 LTS,1.125,VELMAR BERMELLON
90417,4 LTS,6.000,PIMEX PRIMARIO PARA HERREROS NEGRO
90418,4 LTS,2.000,PIMEX PRIMARIO PARA HERREROS GRIS
90419,4 LTS,3.000,PIMEX PRIMARIO PARA HERREROS BLANCO
90420,4 LTS,4.000,PIMEX PRIMARIO PARA HERREROS ROJO OXIDO
906,4 LTS,0.920,VELMAR VERDE ESMERALDA
907,4 LTS,1.683,VELMAR OCRE
908,4 LTS,1.875,VELMAR VERDE MANZANA
910,4 LTS,0.940,VELMAR NARANJA
913,4 LTS,2.350,VELMAR ROJO OXIDO
917,4 LTS,1.900,VELMAR AMARILLO CANARIO
918,4 LTS,0.520,VELMAR NEGRO
925,4 LTS,2.000,VELMAR AMARILLO CATERPILLAR
930,4 LTS,3.500,VELMAR SECADO RAPIDO BLANCO
931,4 LTS,3.000,VELMAR SECADO RAPIDO NEGRO 
934,4 LTS,1.000,VELMAR SECADO RAPIDO NEGRO
935,4 LTS,1.000,VELMAR SECADO RAPIDO V1
939,4 LTS,3.000,VELMAR NF AMARILLO ORO 
95108,4 LTS,2.345,E-10 B ENDURECEDOR
956,4 LTS,0.320,VELMAR VIVID B1
957,4 LTS,3.210,VELMAR VIVID B2
958,4 LTS,1.250,VELMAR VIVID B3
961,4 LTS,1.000,VELMAR SECADO RAPIDO AMARILLO CROMO 
962,4 LTS,3.000,VELMAR SECADO RAPIDO BERMELLON 
963,4 LTS,3.620,VELMAR SECADO RAPIDO CAFE SIENNA
964,4 LTS,3.850,VELMAR SECADO NARANJA 
966,4 LTS,1.000,VELMAR SECADO RAPIDO BASE 2 
967,4 LTS,3.000,VELMAR NF NARANJA 
968,4 LTS,2.000,VELMAR NF CAFE
973,4 LTS,3.000,VELMAR NF NEGRO 
977,4 LTS,4.000,VELMAR NF BLANCO 
979,4 LTS,3.000,VELMAR NF BASE 1
980,4 LTS,3.000,VELMAR NF BASE 2
981,4 LTS,4.000,VELMAR NF BASE 3
991,4 LTS,1.000,VELMAR SECADO RAPIDO NF BASE 1
992,4 LTS,1.000,VELMAR SECADO RAPIDO NF BASE 2
993,4 LTS,1.000,VELMAR SECADO RAPIDO NF BASE 3
HC-10-YOX,4 LTS,1.000,YELLOW OXIDE TINT
HI-10-ORN,4 LTS,0.970,ORANGE TINT
HP-10-YEL,4 LTS,1.000,YELLOW TINT
